Price,Location,Area,Amenities,BHK
₹1.70 Cr,"Andheri East, Mumbai, Andheri East, Mumbai - Western Mumbai, Maharashtra",612sqft,,2 BHK
₹1.01 Cr,Sale 1BHK Vasant Sagar Krishna Complex Thakur Village Kandivali East Mumbai 101,420sqft,,1 BHK
₹3.80 Cr,"Piramal Revanta, Behind Nirmal Lifestyle mall, Goregaon Mulund Link Road, Mulund West, Mulund West, Mumbai - Central Mumbai, Maharashtra",1300sqft,,3 BHK
₹7.99 Cr,"Wadala, Mumbai, Bhakti Park, Mumbai - Harbour Line, Maharashtra",2467sqft,,4 BHK
₹4.14 Cr,"Gopal Krishna Gokhale Road, Hanuman Chowk, Mulund East, Mumbai, Sane Guruji Nagar, Mumbai - Central Line, Maharashtra",1560sqft,,5 BHK
₹1.21 Cr,"Near campus Hotel, 90 feet Road, Mulund East, Mumbai - Central Mumbai, Maharashtra",455sqft,,1 BHK
₹45.3 Lac,"Ambernath, Mumbai, Maharashtra",560sqft,,2 BHK
₹3.35 Cr,"Sapphire Building, Nirmal Lifestyle Residency, Behind Nirmal Lifestyle Mall, Mulund West, Mumbai - Central Mumbai, Maharashtra",1450sqft,,4 BHK
₹11.0 Cr,"Near jain temple., Vile Parle East, Mumbai - Western Mumbai, Maharashtra",2400sqft,,6 BHK
₹2.08 Cr,"Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1353sqft,,4 BHK
₹93.0 Lac,"Sector 7, Charkop, Kandivali West, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",415sqft,,1 BHK
₹2.65 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",860sqft,,3 BHK
₹1.40 Cr,"Malad West, Malad West, Mumbai - Western Mumbai, Maharashtra",640sqft,,2 BHK
₹1.40 Cr,"Tagore Nagar, vikroli East, Mumbai 400083, Vikhroli East, Mumbai - Central Mumbai, Maharashtra",580sqft,,2 BHK
₹1.35 Cr,"Shanti Park, Miraroad, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",689sqft,,2 BHK
₹6.50 Cr,"Parasnath Apartment Sudha Park Behind Garodia Nagar Ghatkopar East Mumbai Maharashtra 400077, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",1990sqft,,4 BHK
₹6.0 Cr,"502., Khar West, Mumbai - Western Mumbai, Maharashtra",1200sqft,,3 BHK
₹1.11 Cr,"Kurla East, Mumbai, Kurla, Mumbai - Central Mumbai, Maharashtra",439sqft,,1 BHK
₹3.84 Cr,"Sheth Developers 72 West, Yamuna, Lokhandwala, Andheri West, Mumbai, Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",1120sqft,,3 BHK
₹3.10 Cr,"Flat no 701, krishnakunj appartments, thanawala lane, off tejpal road, ville-parle east, ., Vile Parle East, Mumbai - Western Mumbai, Maharashtra",980sqft,,3 BHK
Call for Price,"Andheri East, Mumbai - Western Mumbai, Maharashtra",2950sqft,,4 BHK
₹4.75 Cr,"Deonar Lakme Road, Deonar, Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",1514sqft,,4 BHK
₹12.69 Cr,"near MIG Cricket Club, Kala Nagar, Bandra East, Mumbai 400051",2080sqft,,4 BHK
₹1.65 Cr,"Vesta Deep Laxmi Apartment 90 Feet Road Pant Nagar Ghatkopar East Mumbai Maharashtra 400075, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",950sqft,,2 BHK
₹15.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",2320sqft,,5 BHK
₹9.0 Cr,"Near market area., Vile Parle West, Mumbai - Western Mumbai, Maharashtra",1900sqft,,5 BHK
₹7.25 Cr,"Devidas Lane, Borivali West, Mumbai - Western Mumbai, Maharashtra",1750sqft,,5 BHK
₹1.35 Cr,"Saibaba Nagar, Borivali W, Borivali West, Mumbai - Western Mumbai, Maharashtra",575sqft,,2 BHK
₹24.0 Cr,"Sea view apartment Marine Drive, Marine Drive, Mumbai - South Mumbai, Maharashtra",3000sqft,,4 BHK
₹4.10 Cr,"Powai, Mumbai, Powai lake, Mumbai - Central Line, Maharashtra",1158sqft,,3 BHK
₹10.0 Cr,"Matunga East, Mumbai - South Mumbai, Maharashtra",2800sqft,,5 BHK
₹12.90 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",2460sqft,,4 BHK
₹1.35 Cr,"Piramal Revanta, Behind Nirmal Lifestyle mall, Goregaon Mulund Link Road, Mulund West, Mulund West, Mumbai - Central Mumbai, Maharashtra",453sqft,,1 BHK
₹6.75 Cr,"Royale Apartment, Santacruz West, Mumbai",1300sqft,,4 BHK
₹1.10 Cr,"Chembur, Mumbai, Shell Colony, Mumbai - Harbour Line, Maharashtra",410sqft,,1 BHK
₹1.10 Cr,"Mulund East, Mumbai, Mulund East, Mumbai - Central Mumbai, Maharashtra",438sqft,,1 BHK
₹6.25 Cr,"Mahalakshmi, Mumbai, Mahalaxmi Race Course, Mumbai - South Mumbai, Maharashtra",1602sqft,,4 BHK
₹53.63 Cr,"Raheja Legend, Dr Annie Besant Rd, Hanuman Nagar, Worli, Mumbai, Maharashtra 400030, Worli, Mumbai - South Mumbai, Maharashtra",5500sqft,,5 BHK
₹13.0 Cr,"other proposals 9cr to 25cr, Santacruz West, Mumbai - Western Mumbai, Maharashtra",1700sqft,,4 BHK
₹20.0 Cr,"Raheja Imperia, Off Worli Naka, Lower Parel Division, Worli, Mumbai-400 013, Worli, Mumbai - South Mumbai, Maharashtra",3100sqft,,5 BHK
₹24.0 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",5500sqft,,5 BHK
₹1.15 Cr,"Vikhroli East, Kannamwar Nagar - Vikhroli East, Mumbai - Central Line, Maharashtra",575sqft,,2 BHK
₹4.25 Cr,"Gladioli Cooperative Housing Society Off Yari Road Versova Andheri West Mumbai Maharashtra 400061, Andheri West, Mumbai - Western Mumbai, Maharashtra",1200sqft,,3 BHK
₹2.85 Cr,"Goregaon West, Mumbai, Goregaon West, Mumbai - Western Mumbai, Maharashtra",1050sqft,,3 BHK
₹7.75 Cr,"Lower Parel, Mumbai - South Mumbai, Maharashtra",1600sqft,,3 BHK
₹3.75 Cr,"Parel, Mumbai, Parel, Mumbai - South Mumbai, Maharashtra",750sqft,,2 BHK
₹1.64 Cr,"vasai West, Chulne, Mumbai - Mira Road and Beyond, Maharashtra",1422sqft,,4 BHK
₹35.0 Cr,"Nr. Prempuri Ashram, Babulnath, Mumbai - South Mumbai, Maharashtra",4700sqft,,7 BHK
₹2.20 Cr,"New Cuffe Parade, Wadala East, Mumbai - South Mumbai, Maharashtra",511sqft,,1 BHK
₹1.49 Cr,"Powai, Mumbai., Powai lake, Mumbai - Central Line, Maharashtra",379sqft,,1 BHK
₹5.25 Cr,"Powai, Mumbai, Raheja Vihar, Mumbai - Central Line, Maharashtra",2410sqft,,4 BHK
₹4.65 Cr,"Borivali West, Mumbai - Western Mumbai, Maharashtra",1800sqft,,3 BHK
₹10.50 Cr,"Cuffe Parade, Mumbai - South Mumbai, Maharashtra",1735sqft,,3 BHK
₹7.0 Cr,"Chandivali, Mumbai, Chandivali, Mumbai - Central Mumbai, Maharashtra",1850sqft,,5 BHK
₹2.19 Cr,"opp st annes school orlem Malad West, Mumbai., Orlem, Mumbai - North Mumbai, Maharashtra",980sqft,,3 BHK
₹6.11 Cr,"Mumbai, Santacruz West, Mumbai - Western Mumbai, Maharashtra",1300sqft,,3 BHK
₹22.0 Cr,"JVPD Scheme, Juhu, JVPD Scheme, Mumbai - Western Mumbai, Maharashtra",3500sqft,,5 BHK
₹14.0 Cr,"Perry Cross Road, Bandra West, Mumbai - Western Mumbai, Maharashtra",1200sqft,,4 BHK
₹3.25 Cr,"Kannamwar Nagar 1, Mumbai, Kannamwar Nagar 1, Mumbai - Central Line, Maharashtra",1280sqft,,4 BHK
₹3.75 Cr,"Mulund West, Mulund West, Mumbai - Central Mumbai, Maharashtra",1400sqft,,4 BHK
₹13.75 Cr,"Byculla, Byculla, Mumbai - South Mumbai, Maharashtra",2850sqft,,4 BHK
₹1.90 Cr,"Malad West, Mumbai, Kanchpada, Mumbai - North Mumbai, Maharashtra",613sqft,,2 BHK
₹95.0 Lac,"Padmavati grace, bhabola road, opp mc donald, vasai west., Vasai West, Mumbai - Mira Road and Beyond, Maharashtra",750sqft,,3 BHK
₹32.0 Cr,"Gulmohar Road Juhu, Juhu, Mumbai - Western Mumbai, Maharashtra",5000sqft,,0 BHK
₹2.21 Cr,"Santacruz East near Jain mandir off Nehru Road behind Orion Cinema, Santacruz East, Mumbai - Western Mumbai, Maharashtra",562sqft,,1 BHK
₹3.50 Cr,"shubhash nagar Motilal nagar Goregaon west, Motilal Nagar 3, Mumbai - North Mumbai, Maharashtra",1566sqft,,5 BHK
₹2.65 Cr,"Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",850sqft,,3 BHK
₹1.44 Cr,"Chembur, Mumbai., Sindhi Society Chembur, Mumbai - Harbour Line, Maharashtra",445sqft,,1 BHK
₹24.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3144sqft,,5 BHK
₹1.23 Cr,"sahakar nagar chembur, Chembur, Mumbai - Harbour Line, Maharashtra",460sqft,,1 BHK
₹6.50 Cr,"Kandivali West, Mumbai - Western Mumbai, Maharashtra",2220sqft,,6 BHK
₹7.60 Cr,"Chembur, Mumbai, Sion Trombay Road, Mumbai - Harbour Line, Maharashtra",1993sqft,,5 BHK
₹75.0 Lac,"Dahisar East, Mumbai, Dahisar East, Mumbai - Western Mumbai, Maharashtra",443sqft,,1 BHK
₹14.0 Cr,"Lower Parel, Mumbai, Lower Parel West, Mumbai - South Mumbai, Maharashtra",2100sqft,,4 BHK
₹4.30 Cr,"Akurli Rd, next to Rajesh White City, Kandivali, Lokhandwala Twp, Kandivali East, Mumbai, Akurli Nagar, Mumbai - North Mumbai, Maharashtra",1540sqft,,4 BHK
₹7.50 Cr,"Behind Jeevan Vikas Hospital and Close to Railway and Airport, Vijay Nagar Colony, Mumbai - Western Mumbai, Maharashtra",3100sqft,,9 BHK
₹2.30 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1114sqft,,3 BHK
₹3.69 Cr,"Kandivali West, Kandivali West, Mumbai - Western Mumbai, Maharashtra",1680sqft,,3 BHK
₹1.10 Cr,"sashtri Nagar, vrindavan society nr. vibgaiour school goregaon west, Linking Road, Mumbai - Western Mumbai, Maharashtra",620sqft,,2 BHK
₹35.0 Cr,"Worli Naka, Worli, Mumbai - South Mumbai, Maharashtra",6200sqft,,5 BHK
₹6.70 Cr,"Kandivali West, Mumbai, Mahatama Gandhi Road Amrut Nagar, Mumbai - North Mumbai, Maharashtra",1979sqft,,5 BHK
₹10.50 Cr,"Higher floor Aarey facing next to hub mall, Goregaon East, Mumbai - Western Mumbai, Maharashtra",2076sqft,,4 BHK
₹20.0 Cr,"Prabhadevi, Mumbai, Prabhadevi, Mumbai - South Mumbai, Maharashtra",2496sqft,,4 BHK
₹3.24 Cr,"Matunga West, Mumbai - South Mumbai, Maharashtra",1200sqft,,3 BHK
₹6.30 Cr,"Malad West, Mumbai, Malad West, Mumbai - Western Mumbai, Maharashtra",1648sqft,,4 BHK
₹4.15 Cr,"Akash Kiran Cooperative Housing Society Azad Road Vile Parle East Mumbai Maharashtra 400057, Vile Parle, Mumbai - Western Mumbai, Maharashtra",1089sqft,,4 BHK
₹7.50 Cr,"Mumbai, Worli Sea Face, Mumbai - South Mumbai, Maharashtra",1790sqft,,4 BHK
₹6.0 Cr,"Santacruz East, Santacruz East, Mumbai - Western Mumbai, Maharashtra",1590sqft,,4 BHK
₹10.50 Cr,"A.V. Nagvekar Marg, Tata Press Lane, Prabhadevi Mumbai, Maharastra- 400025, Prabhadevi, Mumbai - South Mumbai, Maharashtra",1545sqft,,3 BHK
₹3.10 Cr,"Adarsh Nagar Andheri West, Andheri West, Mumbai - Western Mumbai, Maharashtra",930sqft,,3 BHK
₹10.0 Cr,"Juhu gulmohar road 9 juhu, Juhu, Mumbai - Western Mumbai, Maharashtra",1293sqft,,4 BHK
₹99.0 Lac,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",666sqft,,2 BHK
₹1.35 Cr,"Bhandup West, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",539sqft,,2 BHK
₹3.0 Cr,"003 and oo4 building No.A1, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",1370sqft,,6 BHK
₹2.72 Cr,"VKG Krishna Residences Chakala Andheri East Mumbai Maharashtra 400099, Andheri East, Mumbai - Western Mumbai, Maharashtra",818sqft,,2 BHK
₹12.30 Cr,"Lodha Kiara Opposite Hard Rock Cafe Pandurang Budhkar Marg Worli Mumbai Maharashtra, Worli, Mumbai - South Mumbai, Maharashtra",2252sqft,,5 BHK
₹5.35 Cr,"Chembur, Mumbai., Chembur East, Mumbai, Maharashtra",1250sqft,,3 BHK
₹4.45 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",2060sqft,,5 BHK
₹4.59 Cr,"Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",1430sqft,,4 BHK
₹2.35 Cr,"Sunil Niwas co-op, housing society 4 bungalow Andheri West 400053, Andheri West, Mumbai - Western Mumbai, Maharashtra",700sqft,,2 BHK
₹4.50 Cr,"Goregaon East, Mumbai, Yashodham, Mumbai - North Mumbai, Maharashtra",1750sqft,,4 BHK
₹2.30 Cr,"Mahavir Nagar, Mumbai - North Mumbai, Maharashtra",680sqft,,3 BHK
₹7.99 Cr,"NR. Jain Mandir, Veera Desai Road, Andheri West, Veera Desai Road, Mumbai, Maharashtra",2500sqft,,6 BHK
₹4.15 Cr,"Matunga, Matunga, Mumbai - South Mumbai, Maharashtra",955sqft,,3 BHK
₹5.50 Cr,"Lodha Primero NM Joshi Marg Adarsh Nagar Mahalakshmi Mumbai Maharashtra 400011, Mahalakshmi, Mumbai - South Mumbai, Maharashtra",1250sqft,,3 BHK
₹10.49 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",2000sqft,,5 BHK
₹1.60 Cr,"Pratiksha Nagar-Sion, Mumbai - Central Mumbai, Maharashtra",570sqft,,2 BHK
₹74.0 Lac,"Malad East, Mumbai., Kurar Village, Mumbai - North Mumbai, Maharashtra",322sqft,,1 BHK
₹10.50 Cr,"Powai, Mumbai, Hiranandani Gardens, Mumbai - Central Mumbai, Maharashtra",2125sqft,,4 BHK
₹1.40 Cr,"konkan Nagar Opposite Bus stop Bhandup West near LBS Road, Bhandup West, Mumbai - Central Mumbai, Maharashtra",675sqft,,2 BHK
₹8.25 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1472sqft,,4 BHK
₹11.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1820sqft,,4 BHK
₹1.30 Cr,"Bhandup West, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",633sqft,,2 BHK
₹70.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra","19,000sqft",,8 BHK
₹1.65 Cr,"Swami Vivekanand Road, Shastri Nagar, Jogeshwari West, Mumbai, Maharashtra, India., Jogeshwari West, Mumbai - Western Mumbai, Maharashtra",750sqft,,2 BHK
₹15.72 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",2520sqft,,5 BHK
₹3.0 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",1400sqft,,3 BHK
₹1.10 Cr,"Military road marol Naka, Marol, Mumbai - Western Mumbai, Maharashtra",435sqft,,1 BHK
₹10.50 Cr,"Palazzo, 17th Road, Santacruz West, Mumbai400054, Santacruz West, Mumbai - Western Mumbai, Maharashtra",1950sqft,,4 BHK
Call for Price,"Opp. R City Mall, LBS Marg, Ghatkopar West, Mumbai - Central Mumbai, Delhi NCR",8000sqft,,4 BHK
₹1.15 Cr,"Malad East, Malad East, Mumbai - Western Mumbai, Maharashtra",514sqft,,1 BHK
₹45.70 Cr,"G Block, Bandra Kurla Complex, Opp. Trident Hotel, Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra","15,000sqft",,6 BHK
₹3.25 Cr,"Bandra East, Mumbai - Western Mumbai, Maharashtra",882sqft,,2 BHK
₹5.99 Cr,"worli naka anybesent road, Siddharth Nagar - Worli, Mumbai - South Mumbai, Maharashtra, Worli, Mumbai - South Mumbai, Maharashtra",,,4 BHK
₹1.05 Cr,"Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",480sqft,,1 BHK
₹13.0 Cr,"Andheri West, Mumbai - Western Mumbai, Maharashtra",1920sqft,,4 BHK
₹6.50 Cr,"Vikhroli East, Mumbai, Vikhroli East, Mumbai - Central Mumbai, Maharashtra",1393sqft,,4 BHK
₹4.25 Cr,"ghatkopar east, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",1181sqft,,4 BHK
₹1.10 Cr,"Sher e punjab, Sher E Punjab Society, Mumbai - Western Mumbai, Maharashtra",420sqft,,1 BHK
₹1.60 Cr,"Kurla West, Mumbai - Central Mumbai, Maharashtra",925sqft,,2 BHK
₹5.05 Cr,"Goregaon East, Mumbai, Gokuldham, Mumbai - North Mumbai, Maharashtra",1765sqft,,4 BHK
₹7.0 Cr,"other proposals 8cr to 15cr, Santacruz West, Mumbai - Western Mumbai, Maharashtra",1400sqft,,4 BHK
₹5.85 Cr,"Five Gardens, Mumbai - Central Mumbai, Maharashtra",1074sqft,,3 BHK
₹2.35 Cr,"Chembur, Mumbai - Harbour Line, Maharashtra",835sqft,,3 BHK
₹7.50 Cr,"Mahalakshmi, Mumbai - South Mumbai, Maharashtra",1950sqft,,3 BHK
₹1.75 Cr,"nahar Amrit shakti, Chandivali, Mumbai - Central Mumbai, Maharashtra",650sqft,,2 BHK
₹3.25 Cr,"Goregaon West, Mumbai - Western Mumbai, Maharashtra",1250sqft,,3 BHK
₹10.0 Cr,"Opp. R City Mall, Lal Bahadur Shastri Rd, Ghatkopar West, Ghatkopar West, Mumbai - Central Mumbai, Maharashtra",7500sqft,,5 BHK
₹39.65 Cr,"Prabhadevi, Mumbai, Prabhadevi, Mumbai - South Mumbai, Maharashtra",5650sqft,,6 BHK
₹9.0 Cr,"Vikhroli East, Mumbai, Vikhroli East, Mumbai - Central Mumbai, Maharashtra",1400sqft,,4 BHK
₹37.0 Lac,"Virar, Mumbai - Mira Road and Beyond, Maharashtra",503sqft,,2 BHK
₹1.05 Cr,"ghatkopar East, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",380sqft,,1 BHK
₹28.0 Cr,"Higher floor., JVPD Scheme, Mumbai - Western Mumbai, Maharashtra",4200sqft,,8 BHK
₹22.18 Cr,"worli, Worli, Mumbai - South Mumbai, Maharashtra",4211sqft,,5 BHK
₹1.90 Cr,"8th Floor, Chakala, Mumbai - Western Mumbai, Maharashtra",530sqft,,1 BHK
₹14.0 Cr,"Goregaon East, Mumbai, Goregaon East, Mumbai - Western Mumbai, Maharashtra",3707sqft,,5 BHK
₹98.0 Lac,"vinay nagar, western express highway mira road east, Mira Road East, Mumbai, Maharashtra",691sqft,,2 BHK
₹13.50 Cr,"Vile Parle West, Mumbai",2675sqft,,5 BHK
₹8.50 Cr,"Borivali East, Mumbai, Magathane, Mumbai - North Mumbai, Maharashtra",2300sqft,,6 BHK
₹92.5 Lac,"Goregaon West, Mumbai, Motilal Nagar 2, Mumbai - North Mumbai, Maharashtra",380sqft,,1 BHK
₹60.0 Lac,"Nav Omkar Society, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",450sqft,,1 BHK
₹1.30 Cr,"Thane, Mumbai, Maharashtra",1000sqft,,3 BHK
₹3.10 Cr,"A1703., Kandivali West, Mumbai - Western Mumbai, Maharashtra",917sqft,,3 BHK
₹3.25 Cr,"Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",1301sqft,,4 BHK
₹50.0 Lac,"Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",470sqft,,1 BHK
₹2.10 Cr,"Chembur Naka, Chembur, Mumbai - Harbour Line, Maharashtra",700sqft,,2 BHK
₹1.10 Cr,"Ram mandir station., Goregaon West, Mumbai - Western Mumbai, Maharashtra",421sqft,,1 BHK
₹1.63 Cr,"Neelam nagar., Mulund East, Mumbai - Central Mumbai, Maharashtra",648sqft,,2 BHK
₹2.54 Cr,"near HUL, Bislery, andheri east, Chakala, Mumbai - Western Mumbai, Maharashtra",890sqft,,3 BHK
₹15.50 Cr,nearby oberoi international school Goregaon East Mumbai,2734sqft,,6 BHK
₹3.49 Cr,"Borivali West, Mumbai, Yogi Nagar, Mumbai - North Mumbai, Maharashtra",1120sqft,,3 BHK
₹3.0 Cr,"Kandivali East, Kandivali East, Mumbai - Western Mumbai, Maharashtra",1230sqft,,4 BHK
₹5.50 Cr,"juhu, Juhu, Mumbai - Western Mumbai, Maharashtra",1150sqft,,3 BHK
₹2.50 Cr,"Bhagwan Society, 3rd Road, Khar West, Mumbai 400052, Khar, Mumbai - Western Mumbai, Maharashtra",850sqft,,2 BHK
₹3.15 Cr,"Vile Parle East, Vile Parle East, Mumbai - Western Mumbai, Maharashtra",720sqft,,2 BHK
Call for Price,"Next to Lodha Costeria, Nepeansea Road, Mumbai - South Mumbai, Maharashtra",4400sqft,,5 BHK
₹1.18 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",310sqft,,1 BHK
₹5.30 Cr,"Powai, Mumbai, Chandivali, Mumbai - Central Mumbai, Maharashtra",1600sqft,,4 BHK
₹2.05 Cr,"Kanakia Silicon Valley, behind Dr. L. H. Hiranandani Hospital, Powai, Mumbai, Maharashtra 400076, Powai lake, Mumbai - Central Line, Maharashtra",589sqft,,2 BHK
₹32.0 Cr,"Prabhadevi, Mumbai, Prabhadevi, Mumbai - South Mumbai, Maharashtra",5500sqft,,5 BHK
₹12.50 Cr,"Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra",3200sqft,,4 BHK
₹20.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",4250sqft,,5 BHK
₹2.20 Cr,"Chandivali, Mumbai - Central Mumbai, Maharashtra",1130sqft,,3 BHK
₹4.75 Cr,"Tirumala Heights Bal Rajeshwar Marg Mulund West Mumbai Maharashtra 400080, Mulund West, Mumbai - Central Mumbai, Maharashtra",1830sqft,,4 BHK
₹1.97 Cr,"Sunteck Avenue 4 in Goregaon West is considered the best location for real estate investment in Mumbai due to its prime location, excellent connectivity, modern amenities, and the reputation of the developer. The area is rapidly developing with several infrastructure projects in progress such as the proposed Mumbai Metro Line 2A and 7, Goregaon-Mulund Link Road, and the Coastal Road. These projects will improve connectivity and livability in the area. The development by Sunteck Realty Ltd offers a range of amenities such as a clubhouse, gym, swimming pool, and landscaped gardens, making it attractive to both renters and buyers. Investing in Sunteck Avenue 4 can provide rental income and long-term appreciation in property value.",645sqft,,2 BHK
₹3.85 Cr,"10th floor, Breach Candy, Mumbai - South Mumbai, Maharashtra",490sqft,,1 BHK
₹1.34 Cr,"Mulund - Goregaon Link Rd, opp. Registration Office, Nahur West, Hira Nagar, Mulund West, Mumbai, Mulund West, Mumbai - Central Mumbai, Maharashtra",582sqft,,2 BHK
₹3.80 Cr,"kandivali west, Mahavir Nagar, Mumbai - North Mumbai, Maharashtra",1050sqft,,3 BHK
₹4.50 Cr,"Malad West, Mumbai - Western Mumbai, Maharashtra",1315sqft,,4 BHK
₹1.50 Cr,"Bhandup, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",630sqft,,2 BHK
₹70.0 Lac,"Malad East, Mumbai, Triveni Nagar, Mumbai - North Mumbai, Maharashtra",352sqft,,1 BHK
₹14.0 Cr,"Bandra West, Mumbai - Western Mumbai, Maharashtra",2300sqft,,5 BHK
₹4.35 Cr,"Sudha Park, Shanti Path, Garodia Nagar, Ghatkopar East, Mumbai 77, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",1130sqft,,3 BHK
₹5.51 Cr,"CTS No. 101, Behind Dr. L. H. Hiranandani Hospital, Tirandaz, Powai, Mumbai, Maharashtra, Powai lake, Mumbai - Central Line, Maharashtra",1622sqft,,4 BHK
₹3.80 Cr,"Chandivali, Mumbai, Raheja Vihar, Mumbai - Central Line, Maharashtra",1286sqft,,3 BHK
₹3.35 Cr,"China Bistro Lane, Deonar - Chembur, Chembur, Mumbai - Harbour Line, Maharashtra",1125sqft,,3 BHK
₹3.15 Cr,"Malad west, Malad West, Mumbai - Western Mumbai, Maharashtra",1100sqft,,3 BHK
₹1.13 Cr,"Chembur West, Mumbai, Chembur West, Mumbai, Maharashtra",615sqft,,2 BHK
₹1.85 Cr,"Bramha Niwas, Opposite Eastern Express Highway, In Front Of SBI., Mulund East, Mumbai - Central Mumbai, Maharashtra",750sqft,,2 BHK
₹3.80 Cr,"Andheri West, Mumbai, Veera Desai Road, Mumbai, Maharashtra",1033sqft,,4 BHK
₹22.88 Cr,"Mahalaxmi, Mumbai, Maharashtra, Jacob Circle, Mumbai - South Mumbai, Maharashtra",3520sqft,,6 BHK
₹7.50 Cr,"BKC Kalina, Bandra East, Mumbai, Kalina, Mumbai - Western Mumbai, Maharashtra",2132sqft,,5 BHK
₹3.35 Cr,"behind Dr. L. H. Hiranandani Hospital, Powai, Mumbai,",1650sqft,,3 BHK
₹1.75 Cr,"Mulund West, Mumbai - Central Mumbai, Maharashtra",800sqft,,2 BHK
₹4.20 Cr,"Near goregaon mtnl off s v road goregaon west, Goregaon West, Mumbai - Western Mumbai, Maharashtra",1238sqft,,3 BHK
₹10.0 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",2100sqft,,4 BHK
₹2.40 Cr,"Borivali West, Borivali West, Mumbai - Western Mumbai, Maharashtra",620sqft,,2 BHK
₹1.35 Cr,"Jankalyan Nagar, Mumbai, Jankalyan Nagar, Mumbai - North Mumbai, Maharashtra",636sqft,,2 BHK
₹5.0 Cr,"Kailash Niwas No 1 RB Mehta Marg Sindhu Wadi Ghatkopar East Mumbai Maharashtra 400077, Ghatkopar East, Mumbai - Central Mumbai, Maharashtra",1330sqft,,4 BHK
₹1.85 Cr,"Gmlr., Mulund West, Mumbai - Central Mumbai, Maharashtra",736sqft,,2 BHK
₹13.50 Cr,"Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",3800sqft,,5 BHK
₹1.42 Cr,"Piramal Revanta, Behind Nirmal Lifestyle mall, Mumbai 80",572sqft,,2 BHK
₹23.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",3200sqft,,5 BHK
₹85.0 Lac,"Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",535sqft,,2 BHK
₹1.14 Cr,"W E Highway, Mira Road, Opp Central, Dahisar East, Mumbai - Western Mumbai, Maharashtra",670sqft,,2 BHK
₹27.0 Cr,"Mahalakshmi, Mumbai, Mahalakshmi, Mumbai - South Mumbai, Maharashtra",3600sqft,,5 BHK
₹4.53 Cr,"Andheri East, Mumbai - Western Mumbai, Maharashtra",1650sqft,,4 BHK
₹20.0 Cr,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",4530sqft,,5 BHK
₹4.60 Cr,"Off, Western Express Hwy, Khande Rao Dongari, Borivali, Mumbai, Maharashtra 400066, Datta Pada, Mumbai - North Mumbai, Maharashtra",1034sqft,,3 BHK
₹74.0 Lac,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",425sqft,,1 BHK
